id	prompt	essay	content	organization	language	total
1651	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" 'Kaist' is one of the best university in Korea. It has a wonderful professors, and it's systems are most efficient in Korea. However, there are also disadvantages which I want to change. One of the disadvantages which I hope to be changed is  the location. The location of the university is 'Daejeon'. However, I wish KAIST to move to Seoul. There are several reasons why I think like this.
 First, there are many interactions in Seoul. Meeting many kinds of people is important to university students. Because it can improve one's sights and make experiences. However, in KAIST students only meet people who is KAIST students or neighbor university students. This because there are little university compared to Seoul. 
 Next, it will be more happy if KAIST move to Seoul. Daejeon is a famous place where there are almost no place to have fun.  And Seoul has a lot.  The university students need to have fun a lot. University is the best period to play because of the reality. Therefore,  move to Seoul will help students to enjoy their university life.
 These are the two reasons why I think KAIST should move to Seoul. I think moving to Seoul will improve the quality of university, and give us more  chances to us. "	5	4.5	4	13.5
1652	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"   I'm a student of KAIST. KAIST is such a good university in Korea. A lot of Korean students want to go there. KAIST has great education systems and great campus. However, I am not fully satisfying with my university. I want to change a lot of things in my university. If I could change one important thing about my university, I would change every cafeterias and restaurants in campus.
             I love to eat something. In usual, male students do not have a big interest in food. However, I am really interested in it and I know well about foods and restaurants than usual female students. That is why I want to change the total cafeterias and restaurants. First, I want make menus of cafeteria more various. I love to try new menus and new restaurants. I do not like going same restaurant everyday, but in university, it is not easy. Many students go cafeteria to eat breakfast, lunch, and dinner. When we go outside of university and eat food for everyday, it spends a lot money and time. College students' most valuable thing is money and time, so we have to eat food in campus a lot. In reality, we go same cafeteria called Kai Maru everyday, because different cafeteria is too far from dormitory. However, there are just few kinds of menus in Kai Maru. It needs just 3 days to get bored about same menu. Next, we need more cafeterias. In our college, there are just few cafeterias, so students are crowded in cafeterias in every lunch and dinner time. We need to wait for eat food and the average waiting time is almost 20 minutes. However, some day we have only 30 minutes to eat lunch. We have to eat really fast or can not eat at all. Last, foods need to be healthier and more delicious. Kai Maru's food is famous for awful taste. Except few menus, taste of menus are too strong and not good at all. I think cafeteria needs to provide more healthier food, not using instant foods and too spicy and salty foods. 
             If there are real change in the food and cafeteria, many students will be happy and do not get stressed about foods. It can even affect to study I think. This will give a big change in our campus life."	5	4.5	4	13.5
1653	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" There are many important things in our university life. Someone could think that study is most important, and someone could think that club activities are most important. However, now there are one most important thing that affect to our university life. It is COVID-19. Because of COVID-19 in our university, our university life become abnormal. We lost many things in our university life because of COVID-19. Therefore, if I can change one important thing in my university, I will delete the COVID-19 from my university.
 First reason why I want to delete the COVID-19 from my university is because of studding in university. Because of COVID-19, we cannot study as normal. We have to make distance in our life, so we can cannot study together with our friends in university, and we cannot meet our teachers in offline. Therefore, I hope that COVID-19 will delete from my university and study with my friends and teachers in offline.
 Next reason why I want to delete the COVID-19 from my university is because of university festival. Most of universities had significant size of festival every years, and students in universities could enjoy this festival. However, because of COVID-19, universities could not hold these festivals. My university also had the festival in spring, but it disappear for two years because of COVID-19. Therefore, I hope that COVID-19 is over, and enjoy our university festival.
 To sum up, I want to delete the COVID-19 from my university because I want to study with my friends and teachers as normal, and I want to enjoy our university festival. I know that COVID-19 is global problems, and it will not disappear easily in our life and our university. However, I hope that COVID-19 will disappear at least in our university, and I hope that we could enjoy our university life without COVID-19."	4.5	5	4	13.5
1654	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"KAIST is a university one of the best engineering university in Korea. However, KAIST has two critical disadvantages, which would be told below paragraphs. If I could change one important thing about my university, I would establish a college of liberal arts, which can solve these critical disadvantages.   
     First, KAIST students have a difficult in improving their insight. Most people of KAIST have similar childhood such as graduated science high school or gifted school, being interested in science and math from when they are young. Moreover, since their living pattern is also similar, they have a difficult in widening their insight. Therefore, if I establish a college of liberal arts, by communicating between engineering student and liberal arts student, they can improve their insight.
      Second, KAIST has a bias gender rate. It is also critical problem that KAIST has few female students. It gives bad influence not only to male students but also to female students. It is important to know how to deal with different gender people. However, most KAIST male students have a difficult to get enough skills for dealing with female. Female have also problem. They have few same gender friends who can share their difficulty. Thus, by establishing a college of liberal arts, KAIST can increase a rate of female students.
    In conclusion, KAIST has two critical disadvantages. First is KAIST students have a difficult in improving their insight. Second is KAIST has a bias gender rate. KAIST can solve these problems with one method. It is establishing a college of liberal arts."	5	4	4.5	13.5
1655	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"  In KAIST, We learn every class in English. It is an essential rule of our university so all students and professors must use English in class.  Some would argue that the English class would increase the English ability of students and it helps that the students go over the world. On the other hand, others maintain that English would interrupt students' studying ability. I also believe that using English in every class would decrease the level of students since there are many students who do not participate in class due to English and then there are limits to deliver some logical things. I want to change English class in KAIST.
Most of all,  English classes reduce students' rate of participation. In my case, my English ability like reading, listening, speaking, and writing is low rather than others. I cannot understand most parts of the video or explanation and I cannot ask some question about the class. It is not only my problem. Many friends have these problems and they always say these problems. Surely, we should study English and increase our English ability more. However, not only the speed of increasing our ability is slow but also It is not easy.
Second, there are limits in the transfer of the logical structure. In KAIST, most professors and students are Korean. They have used Korean until now and they would feel comfortable when using Korean. There are professors who have low English levels among professors in low probability. Then some professor who has low only read ppt. In studying, It is important to transfer the logical sturcture but there are limits when we use English. Especially, there are larger problems in natural science such as physic, chemistry, etc.
In conclusion, I want to change the system of English class. There are two big problem, one thing is it would reduce students' rate of participation and other is that there are limits in the transfer of the logical structure. I think that if it will be improved, there will be many good point"	5	4.5	4	13.5
1656	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"As age of education approaches, university has become important in Korean society. Each university has different trait. So, there are many debate about things that have to be changed. Have you ever thought about this? If you could change one important thing about your university, what would you change? I want to change dormitory. In this paper, I want to explain my opinion for several reasons.
  First of all, I want to change quality of university dormitory building. That is too old. For example, there are a room where we can take a rest. In that room, the microwave and chair is sometimes do not work. Similarly, the cleaning machine in the restroom is so dirty. When I use this to cleaning my underwear. My white socks and pants was getting dirty. If I could, I want to change about this.
  Second, I want to change management system of air conditioner in my university. The summer is coming , the temperature is getting hot. Turning on the air conditioner in all of our dormitory is needed , so that we could study under the cooling and optimum condition. However, there are some dormitory where the air conditioner is not turned on yet. In addition, because of this, one person ,who lived in that dormitory, says ,""I can't sleep at night because of hot temperature."" this is serious problem. Therefore, I strictly want change this unequal system, too.
   To sum up, you can see that the changing of dormitory system about the quality of cleaning and the air conditioner management is very important to increasing the quality of our campus life by using the well working microwave and clean machine. Only the voice, which ask some changing point about our university, changes our campus life."	5	4.5	4	13.5
1657	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" Do you know about all sites in Korea Academy Institute of Science and Technology (KAIST)? Some students do not notice these so they have difficulty about adaptation to KAIST. Therefore, I think our university should make a Kakao KAIST that informs KAIST, such as events and sites.  
 The first function of the Kakao KAIST is explaining KAIST's events. There are many events in KAIST like the KAIST-POSTECH War or the Strawberry Festival. However, some KAIST students do not have a method for knowing its dates because there are no people who report them. Therefore, Kakao KAIST should have a function that informs the events of KAIST before these events begin.
 Kakao KAIST reports also sites of KAIST. KAIST has lots of sites, such as KLMS, mail, and portal sites. For example, some freshmen confuse about applying for their courses because they cannot adapt to many KAIST sites. In fact, some students do not notice portal sites of KAIST so they lose applying for their courses. Therefore, Kakao KAIST has to report KAIST sites for their freshmen.
 To sum up, KAIST has to make Kakao KAIST whose can explain the events and sites of KAIST to their students. Furthermore, they should add Kakao KAIST's URL in students' ID cards to report to students about many things about KAIST."	5	4.5	4	13.5
1658	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"  I love my university, KAIST. I believe that KAIST is the best university in Korea. KAIST is almost perfect, but it has only one thing that makes me sad. That is the location of my university. I sometimes feel sad because of it.
  Therefore, if I could change only one thing about KAIST, I want to change the location of my university. Moreover, I want to move KAIST to Seoul or near to Seoul. I have three reasons for my opinion.
  First of all, my university is so far from my house. I live in Suwon, in Kyung-gi do, so if I want to go KAIST, it takes much time and money. Even if my parents drive their car for me, it takes about 2 hours, so it is very hard work. Of course, there are other ways to go to KAIST that take KTX or SRT. If I ride them, time will be saved, but they are pretty expensive. 
  Secondly, most of my friends are in Seoul or near Kyung-gi do. I went to my high school in Sejong, but there are many friends who live in Seoul. I graduated my high school now, but I usually miss them. However, I am in Daejeon, so it is too hard to meet my friends in Seoul. Although my friends sometimes come to Daejeon to meet me, I want to see them more. 
  Lastly, there are many convenient systems in Seoul. First, I can go anywhere in Seoul so fast because of subways and buses. There are also very many places to enjoy. We can go Gang-nam, or other hot places in Seoul. Because of COVID-19, I can't play there with my friends, but after everything become better, Seoul will be the best place to meet my friends
  In conclusion, I want to change my university's geometrical location because KAIST is so far from my house and my friends, and there are many convenient systems in Seoul. Of course, there are not only disadvantages but also advantages because KAIST is in Daejeon. For example, Daejeon has very many scientific organizations, so we can focus on our research or studies. I know that it is impossible that move my university, so I just do my best in KAIST, in Daejeon."	4.5	4	4.5	13
1659	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" My University, KAIST, is one of the best universities in the world. It has very organized departments and the professors are all world-class. However, I believe that there is still room to grow and improve. The university is wold-wide and, it has enrolled competitive international students. It has weak approaches towards the international community. I have met some university students who do not know the rules of the country and have suffered a lot because of this. I myself have faced problems that I would not face if anybody told me before. Therefore, in this essay, I will mention two reasons why KAIST should work hard to improve its approach to its international community.

       The first reason is that many foreign students faced problems regarding VISA extension and related immigration problems. I can present myself as a compelling example of this.  I was fined around 400 US dollars for not changing my D-4 VISA to D-2  VISA on time. I would have not paid this amount of money if I was informed about this before by KAIST. As a student, any foreign national who faces such kind of problem would not quickly recover from the financial crisis created by such havoc. Therefore,  organizing a team that gives a briefing on VISA and immigration issues is important to alleviate any problem that can happen without knowing.

        The second reason is that  internationals feel isolated in the university.  One of the main reasons for this is the language barrier. There is an outcry of loneliness and dissatisfaction from the international students on the anonymous Facebook page.  Encourging students to engage in cultural events and to practice their Korean language would solve this problem. Moreover, creating a strong tie between international students and domestic students plays a vital role in creating a harmonious university environment. This way, KASIT could shine more globally. In general,  the role of forming a club or a group which promotes the relationship between international students and domestic culture would solve the problems of the students as well as renew the spirit of cooperation.

         To sum up, If I get an opportunity to change one thing about KIAST  I would improve the university's image  in the mind of international students.  The main reason that this change needs to be applicable is that the international community in KAIST has faced problems because of not knowing important rules and regulations in the country. Moreover, some international students have had a hard time intermingling with domestic students due to the cultural difference and language barrier.  Hence, this problem needs immediate action, and the best measure is to create groups or clubs that exclusively work on such issues."	5	5	4.5	14.5
1660	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"    Almost all of KAIST class must use the English. But it has many inefficient points. So if I can change one thing in KAIST, I  want to change about English usage policy in KAIST.
    First, sometimes English is inefficient to understand difficult class. When students study about their major class, it is not easy. But, not only difficult major but also English is stress. When students learn about difficult thing, often english is inefficient. 
    Second, KAIST English lecture curriculum is good. So if KAIST extend neccesity English lecture, it will be good choice for student's English skills. Every class don't have to use English.
    Third, I felt difficult to study. It is very personal thing. English was my complex. When I study major lecture, always I find word's meaning. Sometimes I couldn't question to professor. Because I didn't say my question at English. Also I know that English is very important. Nevertheless KAIST's English policy is bad way for some students.
    In conclusion, KAIST's English policy is inefficient about many cases. So I want to change. Every class don't have to use Englsih. And I want to extend English curriculum in KAIST. Then students' studying efficiency will increase."	4.5	4	3.5	12
1661	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"   If I can change one important thing about KAIST, I will change the location of the university to Seoul. KAIST is one of the most famous science and technology universities in Korea. However, it is located in Dejon, far from Seoul. I think this is a big disadvantage for my university for two reasons. 
     First, communication with other universities is restricted by this location problem. University students do lots of things with other students from other universities, such as club activities, and research projects. However, it is hard for KAIST students to do activities like these because they don't have many universities around them.
     Second, students sometimes need to fresh their brains, by playing with other friends. Most of the students drink alcohol with their friends or hanging around the city where the university is located. It is true that Dejon is a good city to live in. But, have fewer places to play, compare to Seoul.
     In conclusion, I think KAIST can be improved, if it moves to Seoul. I saw some friends choose another university rather than choose KAIST, because of the location problem. Almost half of the students and people living around Seoul. So, if KAIST is located in Seoul, it can make our university better than before. "	5	4.5	4.5	14
1662	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"As a KAIST student, I really like my university. There are many good things in KAIST. Many great and kind professors, high technology device, and education program such as KLMS are the examples. But it will be a lie, if there are only good things.  There are few things that want to change. Specially, I want to change about grading. It is important for all students and professors. Now, I will present why I want to change grading process.

First, ABC grading programs are too old program. ABC grading program was used when my parents are in university. In some case of class, they can chose SU grade or ABC grade. People know already about KAIST students are smart. I think it will not need who is better than the others. ABC is too old programs, It should be change to another thing such as SU grade.

Second thing is final exam percentage are too big. May be many student and professor know about the percentage of final exam. Most of final exam percentage is 40~45%. Some subjects are almost half of entire grade percentage. This situation causes the unfair of  grade. For example, one student did really hard at homework and attend. Student got good grade on middle exam, but when student took a final exam, student was sick. So he got a bad scores on final exam and low grade. As the student student did hard work entire semester. But one mistake on final exam make student get low grade. As a example, I think it should be changed the percentage of exams.

Last one is about the assignment. In KAIST, all students have assignments every week. When they finish one assignment, they should start next and next assignments. Moreover, there are same amount of assignment during the exam week. Also assignment is not easy because of KAIST students. It needs more the 1 days for 1 assignment. But score and percentage of assignment are really low. In case of program subject, there is lab homework every week. Some program is really hard. It need a lot of time someone is not good at program such as me. I did it really hard, but the lab homework is not effect on grades. Student should do it, but it is not effect to grade. It should be changed. KAIST should change the assignment amount, percentage, or levels. 

As the three reasons,  KAIST should change the grading system. If KAIST change it, KAIST can be better than before. As a student in KAIST, changing the grading system make the happy college life. KAIST is one of the greatest school in Korea."	5	4.5	4	13.5
1663	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"    KAIST is one of the most popular universities in Korea. It's nice enough for students and professors, but there is a problem. The problem is that KAIST is located in Daejeon. There are many labotories and institutes about science, so it can be a great place. But I want to change KAIST's location to Seoul. Here are my reasons.
    First of all, many people live nearby Seoul. Over 20 millions of people live nearby Seoul and Gyeonggi-do, so they have to take train or bus to visit their home. Furthermore, It's far between KAIST and Daejeon station. For example, I live in Anyang. It takes 3.5 hours to go there. If KAIST was located in Seoul, It would take less than 2 hours.
    Second, Daejeon doesn't have enough places to play. Many special places such as amusement park are usually located in Seoul. When I meet my girlfriend in Daejeon, we don't have place to go. One amusement park, 'Daejeon O-world' is very small. Because of these reasons, many people call Daejeon, ""not-fun city"".
    Third, students of KAIST don't have opportunity to meet other students from Seoul. There are high-ranked universities in Seoul such as Korea university. Because of our location, we can't have any chance to meet them. Only Chung-nam university is near, but it's not enough.
    There are many things that we can't get because of our location. So I want to move location of KAIST to Seoul for time, fun and friends. Thank you for reading my opinion."	4.5	4	3	11.5
1664	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"  When I first saw inside of the KAIST, the most impressive thing except something related with study or research was Ryu Keunchul Sports Complex. In there, people did many sports like basketball. For me who like basketball, It was amazing feeling by its massive size, good state, and variable use. But by COVID-19, Sports Complex has been closed or limited to use since early 2020. Now I think it is time to remove the limitation for use of Sports Complex. KAIST student should use that place freely. Let me tell you the reason.
  First, we should think the student's right. For students who like to plat sports, they will want to use Sports Complex, but they cannot use freely because university blocked it. This situation is the case student's right is not considered. They should have the right to use the place in KAIST freely as KAIST students.
  Second, students is getting tired. When I was in school at January 2020 by some class, after a series of hard classes, I get rid of my stress from playing basketball at night. Also the research says playing sports is helpful for not only our physical health but also our psychological health by expose of some hormones which affect people to feel happy. Like this, playing sports is funny thing and the way to remove stresses. But now, students feel hard to find some place to play sports, then this can lead to depression and getting tired.
  In conclusion, Sports complex which has massive size should be opened now. I think these negative affects is bigger than the positive things by limitation. Of course preventing spread of virus is important, but if limitation is too long, students' life is too tired and depressed. If we prevent to use of people who is not related with KAIST and manage the place, for example, cleaning  and tak very well, we can avoid some bad situation by COVID-19. It is time to change."	5	4.5	4	13.5
1665	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"      According to static of 2017, static says students of KAIST spent 30 hours a week studying their major. This quantity is the highest time in university of Korea. This means many students of KAIST have a focus on studying. Should we spend most of the time in studying? My answer is strongly ""NO"". If we only spend our time studying in library, it is same as wasting a time. So, KAIST must decrease the quantity of studying for students.
        First of all, in KAIST, there are sufficient opportunities that help advance us. That is, students can conduct diverse things like completing projects, meeting various people, and etc. There are so many things that we cannot write in this paragraph. So, I mentioned the very important two things. Completing projects, which many succeed people say it is priceless, is very long memory as we live. Completing projects yourselves will enhance your ability of collaboration, knowledge about that, and especially it gives us experience. To experience directly is very valuable as it gives us what we cannot learn from theory. Also, if we meet various people in diverse fields, we can accept and exchange many thoughts. It is also useful as we live.
        Last but not least, decreasing the quantity of studying will increase quality of life of students. As students have more time, they can take a sufficient rest, and release their stress easily. Especially recently, many people thinks work-life balance is very important. If students find this value important, it will make a fresh atmosphere in campus. Then, energetic circumstances will increase the efficiency of various activities. Therefore, it will make a positive circle in KAIST.
        In summary, students should not be tied in studying. There are tremendous things that cannot get in a chair. Students should experience diverse activities, and it can develop themselves. Like this, decreasing the quantity of studying will carry enormous things to students. KAIST should make students sufficiently free."	5	4	4	13
1666	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"KAIST is a superb university at science and technology, but like all other universities, there's several things that can be modified. In my case, if I could change one thing about our university, I like to make classes that professor and students can use english and korean freely. I will inform you why I want to do that.
First, english could deter fluent expressions about thoughts. This is a quite a problem especially in university, in that it is the place where the active interactions and opinion exchanges are seriously required. This kind of limitation emerges when we are participating in class. Although professors can speak in english sufficiently for conveying informations, but there's substantial loss in content when professors convey their own thoughts and visions, which require sophisticated methods to be expressed. As a result, classes that only uses english can just end up with reading lecture notes or textbooks.
Second, it is not convincing that using english in classes can improve student's overall language abilities. This reason is particularly related to my own experience. For several years, I've seen various kinds of videos in YouTube which are in english, but I'm not confident that I can use english freely. I believe that the second language acquisition being done by listening and reading has a critical point that cannot be surpassed without actual interactions.
In conclusion, using only english in class can lower the quality of lecture, and the reason that classes in english can improve student's language ability is not that reasonable. In my opinion, the ultimate purpose of university is improving one's thoughts to be more complex and detailed, and using only english in class could make the exact opposite result. Constructing thoughts should be done before using foreign language."	5	5	4.5	14.5
1667	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" I'm a student of the KAIST which is the greatest and most popular engineering university in Korea. KAIST has many advantages such as a nice dormitory system and great professors, and I am very satisfied from them. However, I think the location is the only disadvantage of the KAIST. KAIST is located in Daejeon, not Seoul. If I could change one important thing about KAIST, I will change the location of the KAIST from Daejeon to Seoul for some reasons.
 First, transformation system of Daejeon is not as comfortable as the system of Seoul for students. Students of university usually don't have their own car, so they ride a bike or walk around. If they must move longer distance, they have to use bus or taxi. In the case of KAIST, there is not enough taxi. I saw many students missing the train because of the lack of taxi. How about the bus? In order to take a bus, students have to go to the front gate or east gate of KAIST which is very far from their dormitory. Moreover, underground train in Daejeon has only one route, and distance between KAIST and the closest station is still very far. In the case of Seoul, the capital city of Korea, it is more advanced and complex city. There are more bus stations and underground train routes. Using those two traffic system makes the transformation of students very comfortable and convenient. 
 Second, students of KAIST can not experience more various thing because of their location. Most of the facilities are concentrated in Seoul, and almost of the festivals or expo are held in Seoul. Thus, in order to have various experience, KAIST students should go to the Seoul. However, it is not simple. They should get the train at least 1 hour, and the cost of the transformation is quite expensive. Because of the time and cost, KAIST students can't make a decision easily of going to Seoul and can't have experience. Most of the companies are also in Seoul, so the location is one of the reason why KAIST students stay and study more after graduation.
 In short, location of the KAIST, Daejeon, is quite uncomfortable because of the transfomation system and the lack of experience. Therefore, if I could change one thing about KAIST, I will change the location from Daejeon to Seoul."	5	5	4	14
1668	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"       All of Kaist students have to learn the sports classes. In every semester, sports classes make somebody can not graduate the university. Because,we need luck to learn the sports class. Of course, health is important to study hard, and sports classes make many students healthy. However, there are too many bad points of the sports classes. I am going to talk about 3 main reasons why we need to change something about sports classes.

        First, our ability of sports are different, but sports classes can not give different study. It means some people feel too hard from class, and somebody feel too easy. This is not good for our health. And it makes we can not get any interest from exercise. In this situation, it means exercise ourselves is better than sports class.

        Second, it makes the gender issue. In our university, some sports club members do not have to learn one sports class. It is unfair process about gender. Because, It is very hard to be sports club members for man without the ability of sports. For example, I failed to be soccer club member because I am not good at soccer. But, it is easy for women with manager process. It makes a big issue about gender, so we need some change about sports classes and process. 

        Finally, we do not have enough sports class. Every students have to learn one or two sports classes. But in one semester, only 200 people can get sports classes. To learn a sports class, we need to be selected from random. It means we have to be selected to graduate. I think it is very fun situation. Also in this situation, we can't learn sports class which we want. We need some solution about these problems. 

       In summary, sports classes make us healthy. But, It makes gender issue and graduate issue. Also, it is not better than exercise ourselves. In my opinion, university should delete sports classes, and make some facilities to exercise in university. Except some dormitories, we don't have a place to exercise well. We do not need the class to exercise, we need place to exercise."	4.5	4	3.5	12
1669	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	" I love my university, KAIST. Our campus is so beautiful and our education is the highest level among the world. Even KAIST is awesome university, however, some of students have some demands to change KAIST. I think that the most important thing to develop KAIST is the sufficient rest time with some reasons.
 First, KAIST have too many assignments. Since KAIST is university for technology and science, it has many experiments and calculation homework. That kinds of work need so much time to solve. It is common to study at midnight in KAIST. Our dormitory even has no time limit to sleep. It makes body clock of student be confused. In fact, I got backache since I often slept at desk midnight. Therefore, KAIST should make sufficient sleep time to students.
 Second, KAIST demands too many classes to graduate. Since each class have many assignments, we cannot take enough classes if we take care about grade. I heard that many of KAISTian are early-graduated from high school, and many of them decided to take one more year in KAIST. Of course, I think every lectures are very nice to study, but late-graduate is disadvantage for compony entrance candidate. So, we should have less time to solve assignments by make sufficient rest time.
 In conclusion, KAIST demand too much time to study now, and it harms health of the students and time to take other lectures. I graduated science high school, and it had many lectures and assignment similarly. So, many students had to study at midnight, and school thought we need more rest time. As a result, school made a extra space to take a rest, and that made efficiency of studying more efficient. I guess the enough rest time for students will bring the more efficient learning. Therefore KAIST should consider about developing the rest time."	4	4	3.5	11.5
1670	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"KAIST, my university, has lots of great benefits. For example, it has lots of programs, festivals, and team projects. But if I could change one thing in KAIST, I would change the lecture in English. Now I will tell you two reasons why I want to change it.
First, students have a hard time having English lectures. For example, my friends who did not have studied English a lot, have a hard time understanding lectures in English. That makes student's academic performance to get decreased because they can't understand what the professor is explaining. If students do not understand the lecture, they have to study that part again and again, which is inefficient.
Second, professors have a hard time speaking in English too. When I was taking the course, Signals and System, the professor said he has a hard time having lectures in English. He said he will use his mother language sometimes. Like this, professors also have a hard time having lectures.
The English lectures have been used since 2004. At that time, four students and one professor have committed suicide because of the English lecture. Also, about 35 professors lost their job because they did not pass the English test. Nowadays, students and professors have to study English because of the test they have to take. This is annoying to everybody at KAIST. In conclusion, students and professors have a hard time having English lectures, so I want to change this part in KAIST."	5	4.5	4.5	14
1671	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"     Where people live is the most important thing in people's life. It determines the quality of lives cause home is the place is where you sleep, take a rest, or get an inner peace. Since students of KAIST are living in dormitory of school, dormitory is a huge factor that determine the students' life. However, dormitory in KAIST is not that good to live, though it has very reasonable price. I think that dormitory is one of the most important things should be changed in KAIST. 
     First, there are too many warms. If you had lived in dorm in KAIST, you might experience of facing warms. I saw warm called '돈벌레' and '바퀴벌레' in dormitory last week. It is not only bad for the sight but also bad for health since '바퀴벌레' lives in the environment that is dirty and could spread a virus. Many students cared about the bugs in dorm. If the environments have changed, it would be more happy dormitory life. 
     Second, It is old and small. Almost dorm in KAIST is over 20 years old, so it ha s germs called '곰팡이' in the walls and windows, and average size of dorm is less than '4평', the unit used in Korea. The size of dorm is too small to live with 2 people, which contains bathroom, shower room, two closets, two desks, and two beds. There is almost no place except these furnitures. In my experience, I took a exercise class in my room, but it is almost imposible to do. I think room size matter after the Covid-19 since it make more time to spend in dormitory. However, it would be great if the dormitory remodeled, so that students can live in better environment.
   In conclusion, dormitory in KAIST has 2 disadvantages which is warms, old and small. If these disadvantages are improved, it becomes the best dormitory in the world. I hope students can live in better environments. "	4.5	4	3.5	12
1672	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"     My university is KAIST, one of the best universities in South Korea. I'm proud of my university. But, If I could change one thing about my university, I would change the Silloe Hall. I live in the Silloe Hall. There's so many inconvenient points that I think redesigning is the only answer. So, I'll discuss why I want to redesign the Silloe Hall of KAIST. There are Three reasons.
     First,  the Silloe Hall is too old. Almost part of the Silloe Hall is not in fine condition. Wall of building can't block humidity from outside. Rooms are too small. Every night, air conditioner turns itself off by error. Filter of air conditioners are not cleaned. vending machine in front of the Silloe Hall makes error every morning. Until May, drying machine in first floor was out of order. There are more things which is out of order in the Silloe Hall.
     Second, orientation of the Silloe Hall's is strange. Unlike other north dormitories, the Silloe hall faces strange direction. Its direction is perpendicular to other north dormitories. Because of its orientation, half of the rooms in the Silloe Hall face sun for the entire afternoon, and half of the rooms in the other side of the Silloe Hall can't face sun forever. My room is always in shadow, too. 
     Third, Silloe Hall is too far from outside. Because cooking inside the dormitory is impossible, I and my friends usually order food with delivery application. But, some restaurants which delivery food with motorcycle can't reach Silloe Hall. Then, we should take our meal in front of women's dormitory, which locates next to the road. It's too far.
     To sum up, if I could change one thing about my university, I would redesign the Silloe Hall because it's too old, its orientation is strange, and its too far from outside."	5	5	4.5	14.5
1673	"If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion."	"Because of the COVID - 19 situation, KAIST excuted a method that all classes should be held on online class. So the Intermediate English Reading and Writing classes is also held on online class in spring semester. But I think our classes should be held on offline classes. 
              First of all,  this class was completely done, I think this class had lacking point. This class such as other English classes needs to interact each other but because of COVID - 19 we should held on online class and we can not interact each other.  Also, If we held on offline classes, We can do assignment together so we can give feedback immediately. 
             Second, many people in KAIST feel more fun about offline classes. Now many people in KAIST have boring because during online classes, we cannot meet new friends. And my friends say ""I am not making a girl friend  because of the online classes. Also due to online classes, many students have yet to come to school.  So many students will be able to feel the beauty of KAIST campus if they can do offline activities. 
             Lastly, offline classes will ensure fairness in taking the test. But it does not matter if we take a test with multiple cameras, there are few test that are not fully managed. Indeed, as far as I know, there is a lot of cheating going on in such tests. The biggest problem with online classes is fairness.
            Online classes make us lose fairness and fun. I think these are the two most important things in college life. It is said that vaccines against COVID-19 are now available and that people who wear masks are less likely to be infected. I think "	4	3.5	3.5	11
